Sample,Date,Site,Syrphidae,Apoidea,Lepidoptera,sitetype
C26,6/13/2019,BFB,0,1,0,Natural
C27,6/13/2019,BFB,2,0,0,Natural
C29,6/13/2019,BFB,0,0,0,Natural
C30,6/13/2019,EWB,0,0,0,Greenroof
C31,6/13/2019,EWB,3,0,0,Greenroof
C32,6/13/2019,EWB,4,0,0,Greenroof
C34,6/13/2019,EWB,8,0,0,Greenroof
C35,6/13/2019,EWB,1,0,0,Greenroof
C36,6/13/2019,SSH,2,0,1,Natural
C38,6/13/2019,SSH,2,0,1,Natural
C41,6/13/2019,SSH,3,0,0,Natural
C42,6/13/2019,WSC,3,0,0,Greenroof
C45,6/13/2019,WSC,6,0,0,Greenroof
C43,6/13/2019,WSC,25,2,0,Greenroof
C73,7/18/2019,DGM,0,1,0,Natural
C75,7/18/2019,DGM,0,0,0,Natural
C77,7/18/2019,DGM,0,0,0,Natural
C70,7/18/2019,HDB,0,0,0,Greenroof
C71,7/18/2019,HDB,0,0,0,Greenroof
C72,7/18/2019,HDB,0,0,0,Greenroof
C74,7/18/2019,DGM,0,1,0,Natural
C76,7/18/2019,DGM,1,0,0,Natural
C78,7/18/2019,DGM,0,1,0,Natural
C101,7/18/2019,SSH,0,0,0,Natural
C102,7/18/2019,SSH,3,0,0,Natural
C103,7/18/2019,SSH,1,0,1,Natural
C104,7/18/2019,SSH,1,0,0,Natural
C105,7/18/2019,SSH,0,0,0,Natural
C106,7/18/2019,SSH,1,1,0,Natural
C107,7/18/2019,SNC,0,0,0,Greenroof
C108,7/18/2019,SNC,0,0,0,Greenroof
C109,7/18/2019,SNC,0,0,0,Greenroof
C110,7/18/2019,SNC,3,0,0,Greenroof
C111,7/18/2019,SNC,1,0,0,Greenroof
C112,7/18/2019,SNC,0,0,0,Greenroof
C113,7/18/2019,EWB,0,0,0,Greenroof
C114,7/18/2019,EWB,0,0,0,Greenroof
C115,7/18/2019,EWB,0,0,0,Greenroof
C116,7/18/2019,EWB,0,0,0,Greenroof
C117,7/18/2019,EWB,0,0,0,Greenroof
C118,7/18/2019,EWB,0,0,0,Greenroof
C119,7/18/2019,BFB,0,0,0,Natural
C120,7/18/2019,BFB,0,0,0,Natural
C121,7/18/2019,BFB,0,0,0,Natural
C122,7/18/2019,BFB,0,0,1,Natural
C123,7/18/2019,BFB,0,1,0,Natural
C124,7/18/2019,BFB,0,2,0,Natural
C125,7/18/2019,WSC,0,0,1,Greenroof
C126,7/18/2019,WSC,0,0,0,Greenroof
C127,7/18/2019,WSC,1,0,0,Greenroof
C128,7/18/2019,WSC,1,0,0,Greenroof
C129,7/18/2019,WSC,0,0,0,Greenroof
C130,7/18/2019,WSC,1,0,0,Greenroof
C141,8/22/2019,HDB,0,0,1,Greenroof
C142,8/22/2019,HDB,0,0,0,Greenroof
C143,8/22/2019,HDB,0,0,0,Greenroof
C144,8/22/2019,EWB,0,0,0,Greenroof
C145,8/22/2019,EWB,0,0,0,Greenroof
C146,8/22/2019,EWB,0,0,0,Greenroof
C147,8/22/2019,EWB,0,0,0,Greenroof
C148,8/22/2019,EWB,0,0,0,Greenroof
C149,8/22/2019,EWB,0,0,0,Greenroof
C150,8/22/2019,SNC,0,0,0,Greenroof
C151,8/22/2019,SNC,0,0,0,Greenroof
C152,8/22/2019,SNC,0,0,0,Greenroof
C153,8/22/2019,SNC,0,0,0,Greenroof
C154,8/22/2019,SNC,0,0,0,Greenroof
C155,8/22/2019,SNC,0,0,0,Greenroof
C156,8/22/2019,SSH,0,0,0,Natural
C157,8/22/2019,SSH,0,1,0,Natural
C158,8/22/2019,SSH,0,0,0,Natural
C159,8/22/2019,SSH,0,0,0,Natural
C160,8/22/2019,SSH,0,0,0,Natural
C161,8/22/2019,SSH,0,0,1,Natural
C162,8/22/2019,WSC,0,0,0,Greenroof
C163,8/22/2019,WSC,0,0,0,Greenroof
C164,8/22/2019,WSC,0,0,0,Greenroof
C165,8/22/2019,WSC,0,0,0,Greenroof
C166,8/22/2019,WSC,0,1,0,Greenroof
C167,8/22/2019,WSC,0,0,0,Greenroof
C168,8/22/2019,DGM,0,1,0,Natural
C169,8/22/2019,DGM,0,1,0,Natural
C170,8/22/2019,DGM,0,0,1,Natural
C171,8/22/2019,DGM,0,0,0,Natural
C172,8/22/2019,DGM,0,0,0,Natural
C173,8/22/2019,DGM,0,0,0,Natural
C174,8/22/2019,BFB,0,0,0,Natural
C175,8/22/2019,BFB,0,0,0,Natural
C176,8/22/2019,BFB,0,0,0,Natural
C177,8/22/2019,BFB,0,0,0,Natural
C178,8/22/2019,BFB,0,0,0,Natural
C179,8/22/2019,BFB,0,0,0,Natural
C180,6/13/2019,DGM,0,0,0,Natural
C181,6/13/2019,DGM,0,0,0,Natural
C182,6/13/2019,DGM,2,0,0,Natural
C183,6/13/2019,DGM,1,0,1,Natural
C184,6/13/2019,DGM,0,0,0,Natural
C185,6/13/2019,DGM,0,0,0,Natural
B1,5/13/2021,BFB,0,7,0,Natural
B2,5/13/2021,BFB,0,8,0,Natural
B3,5/13/2021,WSC,0,1,0,Greenroof
B4,5/13/2021,WSC,0,1,0,Greenroof
B5,5/13/2021,SSH,1,23,1,Natural
B6,5/13/2021,SSH,0,27,0,Natural
B7,5/13/2021,EWB,0,0,0,Greenroof
B8,5/13/2021,EWB,0,0,0,Greenroof
B9,5/13/2021,HDB,0,2,0,Greenroof
B10,5/13/2021,SNC,0,0,0,Greenroof
B11,5/13/2021,SNC,0,0,0,Greenroof
B12,5/13/2021,DGM,2,1,0,Natural
B13,5/13/2021,DGM,0,2,0,Natural
B14,6/17/2021,BFB,1,10,0,Natural
B15,6/17/2021,BFB,8,6,0,Natural
B16,6/17/2021,WSC,2,1,0,Greenroof
B17,6/17/2021,WSC,2,2,1,Greenroof
B18,6/17/2021,SSH,1,5,1,Natural
B19,6/17/2021,SSH,6,1,2,Natural
B20,6/17/2021,EWB,0,1,0,Greenroof
B21,6/17/2021,EWB,0,0,0,Greenroof
B22,6/17/2021,HDB,2,3,0,Greenroof
B23,6/17/2021,SNC,0,0,0,Greenroof
B24,6/17/2021,SNC,0,1,0,Greenroof
B25,6/17/2021,DGM,0,0,0,Natural
B26,6/17/2021,DGM,3,2,1,Natural
B27,7/21/2021,BFB,1,21,0,Natural
B28,7/21/2021,BFB,2,28,0,Natural
B29,7/21/2021,WSC,0,6,1,Greenroof
B30,7/21/2021,WSC,0,0,0,Greenroof
B31,7/21/2021,SSH,2,7,0,Natural
B32,7/21/2021,SSH,0,7,0,Natural
B33,7/21/2021,EWB,0,2,0,Greenroof
B34,7/21/2021,EWB,0,2,0,Greenroof
B35,7/21/2021,HDB,0,1,0,Greenroof
B36,7/21/2021,SNC,0,3,0,Greenroof
B37,7/21/2021,SNC,1,2,0,Greenroof
B38,7/21/2021,DGM,5,5,0,Natural
B39,7/21/2021,DGM,7,2,0,Natural
B40,8/26/2021,BFB,0,1,0,Natural
B41,8/26/2021,BFB,0,0,1,Natural
B42,8/26/2021,WSC,0,2,1,Greenroof
B43,8/26/2021,WSC,1,1,0,Greenroof
B44,8/26/2021,SSH,0,0,0,Natural
B45,8/26/2021,SSH,0,1,0,Natural
B46,8/26/2021,EWB,0,0,0,Greenroof
B47,8/26/2021,EWB,3,2,0,Greenroof
B48,8/26/2021,HDB,0,1,0,Greenroof
B49,8/26/2021,SNC,1,1,0,Greenroof
B50,8/26/2021,SNC,2,0,0,Greenroof
B51,8/26/2021,DGM,0,1,1,Natural
B52,8/26/2021,DGM,0,0,0,Natural
B53,9/19/2021,BFB,0,1,0,Natural
B54,9/19/2021,BFB,0,0,1,Natural
B55,9/19/2021,WSC,0,3,0,Greenroof
B56,9/19/2021,WSC,0,0,1,Greenroof
B57,9/19/2021,SSH,0,0,0,Natural
B58,9/19/2021,SSH,0,0,0,Natural
B59,9/19/2021,EWB,1,0,1,Greenroof
B60,9/19/2021,EWB,0,0,0,Greenroof
B61,9/19/2021,HDB,0,0,0,Greenroof
B62,9/19/2021,SNC,0,0,1,Greenroof
B63,9/19/2021,SNC,1,0,0,Greenroof
B64,9/19/2021,DGM,0,0,1,Natural
B65,9/19/2021,DGM,0,1,0,Natural
J1,5/13/2021,BFB,0,0,0,Natural
J2,5/13/2021,BFB,0,0,0,Natural
J3,5/13/2021,WSC,0,0,0,Greenroof
J4,5/13/2021,WSC,0,0,0,Greenroof
J5,5/13/2021,SSH,0,0,0,Natural
J6,5/13/2021,SSH,0,0,0,Natural
J7,5/13/2021,EWB,0,0,0,Greenroof
J8,5/13/2021,EWB,0,0,0,Greenroof
J9,5/13/2021,HDB,0,0,0,Greenroof
J10,5/13/2021,SNC,0,0,0,Greenroof
J11,5/13/2021,SNC,0,0,0,Greenroof
J12,5/13/2021,DGM,0,0,0,Natural
J13,5/13/2021,DGM,0,0,0,Natural
J14,6/17/2021,BFB,0,0,0,Natural
J15,6/17/2021,BFB,0,0,0,Natural
J16,6/17/2021,WSC,0,0,0,Greenroof
J17,6/17/2021,WSC,0,0,0,Greenroof
J18,6/17/2021,SSH,0,0,0,Natural
J19,6/17/2021,SSH,0,0,0,Natural
J20,6/17/2021,EWB,0,0,0,Greenroof
J21,6/17/2021,EWB,0,0,0,Greenroof
J22,6/17/2021,HDB,0,0,0,Greenroof
J23,6/17/2021,SNC,0,0,0,Greenroof
J24,6/17/2021,SNC,0,0,0,Greenroof
J25,6/17/2021,DGM,0,0,0,Natural
J26,6/17/2021,DGM,0,0,0,Natural
J27,7/21/2021,BFB,0,0,0,Natural
J28,7/21/2021,BFB,0,4,0,Natural
J29,7/21/2021,WSC,0,0,0,Greenroof
J30,7/21/2021,WSC,0,0,0,Greenroof
J31,7/21/2021,SSH,0,0,0,Natural
J32,7/21/2021,SSH,0,0,0,Natural
J33,7/21/2021,EWB,0,0,0,Greenroof
J34,7/21/2021,EWB,0,0,0,Greenroof
J35,7/21/2021,HDB,0,0,0,Greenroof
J36,7/21/2021,SNC,0,0,0,Greenroof
J37,7/21/2021,SNC,0,0,0,Greenroof
J38,7/21/2021,DGM,0,0,0,Natural
J39,7/21/2021,DGM,0,0,0,Natural
J40,8/26/2021,BFB,0,0,0,Natural
J41,8/26/2021,BFB,0,0,0,Natural
J42,8/26/2021,WSC,0,0,0,Greenroof
J43,8/26/2021,WSC,0,0,0,Greenroof
J44,8/26/2021,SSH,0,0,0,Natural
J45,8/26/2021,SSH,0,0,0,Natural
