Date,Site,sitetype,Syrphidae,Diptera,Formicidae,Apoidea,Ichneumonoidae,Chalcidoidae,Wingless.parasitoid.wasp,Other.wasp,Miridae,Cicadellidae,Cercopidae,Membracidae,Aphididae,Aleyrodidae,Psyllidae,Pentatomidae,Anthocoridae,Reduviidae,Tingidae,Adelgidae,Fulgoroidae,Unknown.Hemipteran,Carabidae,Staphylinidae,Cantharidae,Lampyridae,Coccinellidae,Scarabaeidae,Chrysomelidae,Curculionidae,Mordellidae,Elateridae,Unknown.coleoptera,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Trichoptera,Blattodea,Neuroptera
6/13/2019,WSC,Greenroof,8,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6/13/2019,WSC,Greenroof,7,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
6/13/2019,WSC,Greenroof,1,63,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0
6/13/2019,WSC,Greenroof,1,45,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0
6/13/2019,WSC,Greenroof,1,59,0,1,1,2,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0
6/13/2019,WSC,Greenroof,3,55,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
6/13/2019,WSC,Greenroof,6,56,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
6/13/2019,WSC,Greenroof,25,59,0,2,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
7/18/2019,BFB,Natural,2,9,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7/18/2019,BFB,Natural,4,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
7/18/2019,BFB,Natural,1,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,0
7/18/2019,BFB,Natural,2,21,3,0,3,5,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
7/18/2019,BFB,Natural,0,27,1,0,1,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,1,0,0,0,0,0
